Algorithm,Category,Mode,Algorithm,Category,Predictor,Intercept,Exponent,Exponent_Lo,Exponent_Hi,R2,N_points,O_notation
ab-SNF,Similarity Network,feature,ab-SNF,Similarity Network,p,1.54065935081464,0.00419319902559891,-0.00906745544568792,0.0174538534968857,0.252374753711046,5,O(1)
ANF,Similarity Network,feature,ANF,Similarity Network,p,-0.490577968186142,-0.0194503620833711,-0.0325329425867002,-0.00636778158004198,0.881828039737126,5,O(1)
CIMLR,Multiple Kernel Learning,feature,CIMLR,Multiple Kernel Learning,p,4.34467458048952,0.217238005177534,0.164551500008478,0.269924510346589,0.982875233916342,5,O(p^0.22)
COCA,Consensus/Ensemble Clustering,feature,COCA,Consensus/Ensemble Clustering,p,-11.0511418051819,1.6053550994607,1.41655438029396,1.79415581862743,0.99591973389688,5,O(p^1.61)
iClusterBayes,Bayesian,feature,iClusterBayes,Bayesian,p,-2.90066583248649,1.060276198724,1.05015476372788,1.07039763372012,0.999973008096162,5,O(p)
KLIC,Multiple Kernel Learning,feature,KLIC,Multiple Kernel Learning,p,4.93237824190479,-0.0131953798331768,-0.232637453599737,0.206246693933383,0.0120596754963568,5,O(1)
LRAcluster,Matrix Factorization,feature,LRAcluster,Matrix Factorization,p,-7.99309011611455,1.23097187964202,1.16977348395579,1.29217027532825,0.999268414556489,5,O(p^1.23)
MDICC,Similarity Network,feature,MDICC,Similarity Network,p,-0.556063977885223,0.323364691647575,0.0914940602295088,0.55523532306564,0.867828111936101,5,O(p^0.32)
MONET,Graph-based Methods,feature,MONET,Graph-based Methods,p,4.67726026525808,0.0521861377200192,-0.0472671159649997,0.151639391405038,0.48174472417084,5,O(1)
NEMO,Similarity Network,feature,NEMO,Similarity Network,p,-11.1952262604457,1.27472400593429,0.958977641125757,1.59047037074283,0.982150683222453,5,O(p^1.27)
RWR-F,Similarity Network,feature,RWR-F,Similarity Network,p,9.42286836119282,0.023904779643855,-0.0416254688653395,0.0894350281530494,0.309987279024374,5,O(1)
SNF,Similarity Network,feature,SNF,Similarity Network,p,1.73282934321387,-0.00424497892170686,-0.0217127308672454,0.0132227730238317,0.166234729309071,5,O(1)
Spectrum,Similarity Network,feature,Spectrum,Similarity Network,p,1.36681678863481,0.363974911689651,0.237237718539784,0.490712104839518,0.965331054444566,5,O(p^0.36)
wMKL,Multiple Kernel Learning,feature,wMKL,Multiple Kernel Learning,p,6.60792432260998,-0.110522480585473,-0.892427863476813,0.671382902305866,0.0631895800746241,5,O(1)
ab-SNF,Similarity Network,sample,ab-SNF,Similarity Network,n,-11.8507486749299,2.078631078136,1.92439175010641,2.23287040616559,0.998371728670953,5,O(n^2)
ANF,Similarity Network,sample,ANF,Similarity Network,n,-12.5883052603501,1.81162194867669,1.55162307485799,2.07162082249539,0.993935915351133,5,O(n^1.81)
CIMLR,Multiple Kernel Learning,sample,CIMLR,Multiple Kernel Learning,n,1.14771174705243,0.891081935164158,0.780160405177294,1.00200346515102,0.995431151717814,5,O(n)
COCA,Consensus/Ensemble Clustering,sample,COCA,Consensus/Ensemble Clustering,n,-4.69179178901583,1.94909107485145,1.81557979072761,2.08260235897528,0.998612069957887,5,O(n^2)
iClusterBayes,Bayesian,sample,iClusterBayes,Bayesian,n,3.68758648484227,0.9353374350275,0.900713757599222,0.969961112455778,0.999594274225694,5,O(n)
KLIC,Multiple Kernel Learning,sample,KLIC,Multiple Kernel Learning,n,-5.1015773911785,1.51723125480455,1.15940598926937,1.87505652033974,0.983791581919534,5,O(n^1.52)
LRAcluster,Matrix Factorization,sample,LRAcluster,Matrix Factorization,n,-3.03628624891285,1.49320194858883,1.40978537436336,1.5766185228143,0.999076439380025,5,O(n^1.49)
MDICC,Similarity Network,sample,MDICC,Similarity Network,n,-7.0201084700706,1.5825130013271,1.24610880957551,1.9189171930787,0.986791523762473,5,O(n^1.58)
MONET,Graph-based Methods,sample,MONET,Graph-based Methods,n,-8.83046495768408,2.15730965415315,1.78226038838193,2.53235891992437,0.991126806091768,5,O(n^2.16)
NEMO,Similarity Network,sample,NEMO,Similarity Network,n,-7.58876783037107,1.60276910719507,1.45054702186298,1.75499119252715,0.997335267186365,5,O(n^1.60)
RWR-F,Similarity Network,sample,RWR-F,Similarity Network,n,-14.3136317017044,3.68573084868285,3.28083075053135,4.09063094683435,0.996437967472451,5,O(n^3.69)
SNF,Similarity Network,sample,SNF,Similarity Network,n,-10.9105921361257,1.93255733192967,1.78829698217435,2.07681768168498,0.998352171386223,5,O(n^2)
Spectrum,Similarity Network,sample,Spectrum,Similarity Network,n,-5.04448217924385,1.66795246852953,1.54656826146497,1.78933667559408,0.998433698564305,5,O(n^1.67)
wMKL,Multiple Kernel Learning,sample,wMKL,Multiple Kernel Learning,n,-3.70109426917927,1.45814600665777,0.905320451318536,2.010971561997,0.959161929577319,5,O(n^1.46)
